UserID,Personal Loan,Age,Experience,Income,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard
1,0,25,1,49,4,1.6,1,0,1,0,0,0
2,0,45,19,34,3,1.5,1,0,1,0,0,0
3,0,39,15,11,1,1,1,0,0,0,0,0
4,0,35,9,100,1,2.7,2,0,0,0,0,0
5,0,35,8,45,4,1,2,0,0,0,0,1
6,0,37,13,29,4,0.4,2,155,0,0,1,0
7,0,53,27,72,2,1.5,2,0,0,0,1,0
8,0,50,24,22,1,0.3,3,0,0,0,0,1
9,0,35,10,81,3,0.6,2,104,0,0,1,0
10,1,34,9,180,1,8.9,3,0,0,0,0,0
11,0,65,39,105,4,2.4,3,0,0,0,0,0
12,0,29,5,45,3,0.1,2,0,0,0,1,0
13,0,48,23,114,2,3.8,3,0,1,0,0,0
14,0,59,32,40,4,2.5,2,0,0,0,1,0
15,0,67,41,112,1,2,1,0,1,0,0,0
16,0,60,30,22,1,1.5,3,0,0,0,1,1
17,1,38,14,130,4,4.7,3,134,0,0,0,0
18,0,42,18,81,4,2.4,1,0,0,0,0,0
19,1,46,21,193,2,8.1,3,0,0,0,0,0
20,0,55,28,21,1,0.5,2,0,1,0,0,1
21,0,56,31,25,4,0.9,2,111,0,0,1,0
22,0,57,27,63,3,2,3,0,0,0,1,0
23,0,29,5,62,1,1.2,1,260,0,0,1,0
24,0,44,18,43,2,0.7,1,163,1,0,0,0
25,0,36,11,152,2,3.9,1,159,0,0,0,1
26,0,43,19,29,3,0.5,1,97,0,0,1,0
27,0,40,16,83,4,0.2,3,0,0,0,0,0
28,0,46,20,158,1,2.4,1,0,0,0,1,1
29,0,56,30,48,1,2.2,3,0,0,0,1,1
30,1,38,13,119,1,3.3,2,0,0,1,1,1
31,0,59,35,35,1,1.2,3,122,0,0,1,0
32,0,40,16,29,1,2,2,0,0,0,1,0
33,0,53,28,41,2,0.6,3,193,0,0,0,0
34,0,30,6,18,3,0.9,3,0,0,0,0,0
35,0,31,5,50,4,1.8,3,0,0,0,1,0
36,0,48,24,81,3,0.7,1,0,0,0,0,0
