EmployeeID,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Attrition,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
1,High,Excellent,High,Very High,Good,No,51,Travel_Rarely,Sales,6,College,Life Sciences,Female,1,Healthcare Representative,Married,131160,1,Y,11,0,1,6,1,0,0
2,Medium,Outstanding,High,Medium,Best,Yes,31,Travel_Frequently,Research & Development,10,Below College,Life Sciences,Female,1,Research Scientist,Single,41890,0,Y,23,1,6,3,5,1,4
3,High,Excellent,Medium,Medium,Bad,No,32,Travel_Frequently,Research & Development,17,Master,Other,Male,4,Sales Executive,Married,193280,1,Y,15,3,5,2,5,0,3
4,Medium,Excellent,Very High,Very High,Better,No,38,Non-Travel,Research & Development,2,Doctor,Life Sciences,Male,3,Human Resources,Married,83210,3,Y,11,3,13,5,8,7,5
5,High,Excellent,Very High,Low,Better,No,32,Travel_Rarely,Research & Development,10,Below College,Medical,Male,1,Sales Executive,Single,23420,4,Y,12,2,9,2,6,0,4
6,High,Excellent,High,Medium,Good,No,46,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,Female,4,Research Director,Married,40710,3,Y,13,0,28,5,7,7,7
7,High,Outstanding,Low,High,Bad,Yes,28,Travel_Rarely,Research & Development,11,College,Medical,Male,2,Sales Executive,Single,58130,2,Y,20,1,5,2,0,0,0
8,High,Outstanding,Low,Medium,Better,No,29,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,Male,2,Sales Executive,Married,31430,2,Y,22,3,10,2,0,0,0
9,High,Outstanding,Medium,Very High,Better,No,31,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,3,Laboratory Technician,Married,20440,0,Y,21,0,10,2,9,7,8
10,High,Excellent,Medium,Low,Better,No,25,Non-Travel,Research & Development,7,Master,Medical,Female,4,Laboratory Technician,Divorced,134640,1,Y,13,1,6,2,6,1,5
11,Medium,Excellent,High,Very High,Better,No,45,Travel_Rarely,Research & Development,17,College,Medical,Male,2,Laboratory Technician,Married,79910,0,Y,13,2,21,2,20,4,10
12,High,Excellent,,Very High,Better,No,36,Travel_Rarely,Research & Development,28,Below College,Life Sciences,Male,1,Laboratory Technician,Married,33770,0,Y,12,2,16,2,15,10,11
13,High,Excellent,Very High,Low,Better,No,55,Travel_Rarely,Research & Development,14,Master,Life Sciences,Female,1,Sales Executive,Single,55380,0,Y,17,0,37,2,36,4,13
14,Medium,Excellent,Low,Medium,Good,Yes,47,Non-Travel,Research & Development,1,Below College,Medical,Male,1,Research Scientist,Married,57620,1,Y,11,2,10,4,10,9,9
15,High,Excellent,Very High,Very High,Good,No,28,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,1,Manufacturing Director,Married,25920,1,Y,14,0,5,2,5,0,4
16,High,Excellent,High,Very High,Best,No,37,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,Male,2,Healthcare Representative,Married,53460,4,Y,11,0,7,2,5,0,1
17,Medium,Excellent,Very High,High,Best,No,21,Travel_Rarely,Research & Development,3,College,Life Sciences,Male,1,Laboratory Technician,Single,42130,1,Y,12,3,3,3,3,1,0
18,High,Excellent,Low,Very High,Better,No,37,Non-Travel,Research & Development,1,Bachelor,Medical,Male,2,Sales Executive,Divorced,41270,2,Y,13,1,15,2,5,0,2
